Geneid	SRR11262284	SRR11262285	SRR11262286	SRR11262292	SRR11262293	SRR11262294
ENSG00000160072	547	559	599	1797	3496	1902
ENSG00000279928	0	0	0	4	0	0
ENSG00000228037	12	8	6	6	6	28
ENSG00000142611	683	283	478	150	8	34
ENSG00000284616	0	0	0	0	0	0
ENSG00000157911	638	598	707	693	657	544
ENSG00000269896	79	8	22	74	26	74
ENSG00000228463	31	28	7	7	1	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000224340	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000142655	1334	1209	1060	950	1219	574
ENSG00000232596	6	0	0	0	0	0
ENSG00000235054	0	0	0	2	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000149527	79	38	35	1909	24	587
ENSG00000284739	0	0	0	0	0	0
ENSG00000171621	1103	379	8416	1761	1359	1106
ENSG00000272235	0	2	2	4	0	2
ENSG00000284694	4	0	0	0	0	0
ENSG00000224387	0	6	0	7	0	0
ENSG00000142583	34	13	11	380	574	908
ENSG00000284674	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	2	0
ENSG00000116786	4252	2469	3765	3713	3276	2479
ENSG00000287727	1	0	2	2	8	14
ENSG00000286448	0	0	0	2	0	0
ENSG00000284703	0	6	0	0	0	0
ENSG00000226457	1	0	0	0	0	4
ENSG00000173614	330	534	161	345	401	319
ENSG00000215720	0	0	2	1	0	2
ENSG00000241326	0	0	0	0	0	0
ENSG00000233623	0	0	2	0	0	0
ENSG00000162592	4	2	2	1	2	3
ENSG00000204624	3	2	0	12	1	4
ENSG00000142606	75	140	49	30	4	4
ENSG00000225931	4	0	0	4	2	6
ENSG00000171729	664	770	1243	2336	1713	670
ENSG00000279457	279	338	228	367	473	361
ENSG00000229393	0	0	0	13	0	8
ENSG00000037637	1139	759	715	1035	711	789
ENSG00000287586	0	4	12	0	0	0
ENSG00000159423	594	307	272	817	265	639
ENSG00000227169	0	0	0	0	2	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000011021	787	455	441	342	329	556
ENSG00000142615	4	0	6	2	0	4
ENSG00000215704	99	6	94	0	0	2
ENSG00000157916	2818	4709	3686	4860	5262	3122
ENSG00000157881	864	711	551	902	407	853
ENSG00000238290	2	0	6	4	62	12
ENSG00000225387	1	0	0	0	0	0
ENSG00000048707	3167	1407	2297	2753	515	1416
ENSG00000225196	0	0	0	0	0	0
ENSG00000162444	155	492	310	14	39	130
ENSG00000279625	0	0	0	0	0	0
ENSG00000180758	1282	564	731	2111	442	765
ENSG00000184677	909	735	583	792	216	1311
ENSG00000288398	141	130	59	203	75	126
ENSG00000224621	7	3	14	27	41	5
ENSG00000285833	0	0	0	0	0	0
ENSG00000131697	585	312	327	746	273	617
ENSG00000284692	0	2	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000280222	2	4	2	4	6	0
ENSG00000285945	0	0	0	1	0	0
ENSG00000197921	4	16	10	7	0	8
